DeveloperID,DeveloperName,Country,FoundedYear,StartDate,EndDate,IsActive
101,TechCo,USA,2010,1/1/2010,1/1/1900,1
102,InnovateCorp,UK,2012,1/1/2012,12/31/2022,0
103,FutureGizmos,Canada,2015,1/1/2015,1/1/1900,1
104,VisionTech,Germany,2013,1/1/2013,6/30/2021,0
105,ImmersiveInc,USA,2016,1/1/2016,1/1/1900,1
106,SmartWear,Sweden,2018,1/1/2018,1/1/1900,1
107,TechLabs,Australia,2014,1/1/2014,1/1/1900,1
108,HyperVision,Japan,2020,1/1/2020,1/1/1900,1
109,NextGenVR,France,2017,1/1/2017,1/1/1900,1
110,WorldVR,South Korea,2019,1/1/2019,1/1/2023,0
111,GloveTech,USA,2021,1/1/2021,1/1/1900,1
112,RealTimeAR,India,2022,1/1/2022,1/1/1900,1
113,MetaWorld,China,2021,1/1/2021,1/1/1900,1
114,VRMasters,Spain,2018,1/1/2018,12/31/2022,0
115,HoloGear,Italy,2017,1/1/2017,1/1/1900,1
116,ARWorks,Netherlands,2015,1/1/2015,1/1/1900,1
117,PixelPlay,USA,2020,1/1/2020,1/1/1900,1
118,VisionaryTech,Canada,2019,1/1/2019,1/1/1900,1
119,QuantumVR,UK,2021,1/1/2021,1/1/1900,1
120,SmartVision,Denmark,2022,1/1/2022,1/1/1900,1
